"Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"TXHG1800W062","TOPEX Heat Gun Hot Air Heating Tool Kit Dual Speed w/ 5 Accessories Storage Case","heat gun","TXHG1800W062","B0824TJXYC","P1 - 2 / 60","P1 - 18 / 60","Yes"
"TXHG1800W062","TOPEX","hot gun","TXHG1800W062","B0824TJXYC","P1 - 21 / 60","P1 - 15 / 60","Yes"
"TXHG1800W062","TOPEX Heat Gun Hot Air Heating Tool Kit Dual Speed w/ 5 Accessories Storage Case","hot air gun","TXHG1800W062","B0824TJXYC","P1 - 21 / 60","P1 - 18 / 60","Yes"
"SLSC450301","No","office chair cushion","SLSC450301","B0DHKJH5SD","No","No","No"
"SLSC450301","Stelive Ergonomic Back Cushion Lumbar Support Cushion Memory Foam Back Support Orthopedic Backrest Support Pillow with Breathable Cover & Adjustable Straps for Car Seat Office Chair Gaming Chair","lumbar support cushion","SLSC450301","B0DHKJH5SD","P1 - 24 / 60","P1 - 39 / 60","No"
"SLSC450301","Stelive Ergonomic Back Cushion Lumbar Support Cushion Memory Foam Back Support Orthopedic Backrest Support Pillow with Breathable Cover & Adjustable Straps for Car Seat Office Chair Gaming Chair","lumbar support pillow","SLSC450301","B0DHKJH5SD","No","P1 - 49 / 60","No"
"SLSC450301","Stelive Ergonomic Back Cushion Lumbar Support Cushion Memory Foam Back Support Orthopedic Backrest Support Pillow with Breathable Cover & Adjustable Straps for Car Seat Office Chair Gaming Chair","lumbar support pillow","SLSC450301","B0DHKJH5SD","No","P1 - 49 / 60","No"
"SLSC450301","Stelive Ergonomic Back Cushion Lumbar Support Cushion Memory Foam Back Support Orthopedic Backrest Support Pillow with Breathable Cover & Adjustable Straps for Car Seat Office Chair Gaming Chair","back support cushion","SLSC450301","B0DHKJH5SD","No","P1 - 34 / 60","No"
"TXCS12V412","TOPEX 12V Max Cordless Circular Saw 85mm Cutting Machine Professional 1450RPM Compact Lightweight Mini Circular Saw with Scale Ruler, Saw Blades, Battery & Charger Ideal for Wood, Tile & Plastic Cuts","small circular saw","TXCS12V412","B0CC2GT4VT","P1 - 4 / 60","P1 - 5 / 60","Yes"
"TXCS12V412","TOPEX 12V Max Cordless Circular Saw 85mm Cutting Machine Professional 1450RPM Compact Lightweight Mini Circular Saw with Scale Ruler, Saw Blades, Battery & Charger Ideal for Wood, Tile & Plastic Cuts","mini circular saw","TXCS12V412","B0CC2GT4VT","P1 - 1 / 59","P1 - 5 / 59","Yes"
"TXCS12V412","TOPEX 12V Max Cordless Circular Saw 85mm Cutting Machine Professional 1450RPM Compact Lightweight Mini Circular Saw with Scale Ruler, Saw Blades, Battery & Charger Ideal for Wood, Tile & Plastic Cuts","circular saw","TXCS12V412","B0CC2GT4VT","P1 - 21 / 60","P1 - 9 / 60","Yes"
"TXCS12V412","TOPEX 12V Max Cordless Circular Saw 85mm Cutting Machine Professional 1450RPM Compact Lightweight Mini Circular Saw with Scale Ruler, Saw Blades, Battery & Charger Ideal for Wood, Tile & Plastic Cuts","cordless circular saw","TXCS12V412","B0CC2GT4VT","P1 - 3 / 60","P1 - 5 / 60","Yes"
"TXCS12V412","TOPEX 12V Max Cordless Circular Saw 85mm Cutting Machine Professional 1450RPM Compact Lightweight Mini Circular Saw with Scale Ruler, Saw Blades, Battery & Charger Ideal for Wood, Tile & Plastic Cuts","compact circular saw","TXCS12V412","B0CC2GT4VT","P1 - 3 / 60","P1 - 6 / 60","Yes"
"TXCS12V412","TOPEX 12V Max Cordless Circular Saw 85mm Cutting Machine Professional 1450RPM Compact Lightweight Mini Circular Saw with Scale Ruler, Saw Blades, Battery & Charger Ideal for Wood, Tile & Plastic Cuts","circular saw","TXCS12V412","B0CC2GT4VT","P1 - 21 / 60","P1 - 9 / 60","Yes"
"SLPT11N130A","Stelive 11 Inch Paper Towel Holder, One-Handed Pull & Tear, Stainless Steel, Free-Standing Kitchen Roll Holder, Weighted Paper Towel Dispenser with Suction Cups Base, Suit for Any Roll Size (Silver)","kitchen roll holder","SLPT11N130A","B0DR1FXF86","No","P1 - 52 / 60","No"
"SLPT11N130A","Stelive 11 Inch Paper Towel Holder, One-Handed Pull & Tear, Stainless Steel, Free-Standing Kitchen Roll Holder, Weighted Paper Towel Dispenser with Suction Cups Base, Suit for Any Roll Size (Silver)","paper towel holder","SLPT11N130A","B0DR1FXF86","P1 - 24 / 60","P2 - 40 / 60","No"
"SLPT11N130A","Stelive 11 Inch Paper Towel Holder, One-Handed Pull & Tear, Stainless Steel, Free-Standing Kitchen Roll Holder, Weighted Paper Towel Dispenser with Suction Cups Base, Suit for Any Roll Size (Silver)","kitchen roll holder","SLPT11N130A","B0DR1FXF86","No","P1 - 52 / 60","No"
"SLPT11N130A","Stelive 11 Inch Paper Towel Holder, One-Handed Pull & Tear, Stainless Steel, Free-Standing Kitchen Roll Holder, Weighted Paper Towel Dispenser with Suction Cups Base, Suit for Any Roll Size (Silver)","paper towel holder","SLPT11N130A","B0DR1FXF86","P1 - 59 / 60","P2 - 40 / 60","No"
"TXSP230V191","TOPEX 400W Handhold Electric Paint Sprayer Gun 1000ml High Power Portable Spray-Gun Kit Home Paint Spray Tool Painting Spray Tool for Car, Furniture, Cabinet, Fence, Painting","spray gun","TXSP230V191","B0B2JKJP4G","P1 - 22 / 60","P1 - 33 / 60","Yes"
"TXSP230V191","TOPEX 400W Handhold Electric Paint Sprayer Gun 1000ml High Power Portable Spray-Gun Kit Home Paint Spray Tool Painting Spray Tool for Car, Furniture, Cabinet, Fence, Painting","paint sprayer","TXSP230V191","B0B2JKJP4G","P1 - 3 / 60","P1 - 25 / 60","Yes"
"TXSP230V191","TOPEX 400W Handhold Electric Paint Sprayer Gun 1000ml High Power Portable Spray-Gun Kit Home Paint Spray Tool Painting Spray Tool for Car, Furniture, Cabinet, Fence, Painting","paint sprayer","TXSP230V191","B0B2JKJP4G","P1 - 3 / 60","P1 - 25 / 60","Yes"
"TXNG04V091","TOPEX 4V Max 2 in 1 Cordless Staple Gun Kit Electric Stapler Li-Ion 3K Staples Nails","stapler","TXNG04V091","B09BV1B4QG","P1 - 57 / 60","No","No"
"TXNG04V091","TOPEX 4V Max 2 in 1 Cordless Staple Gun Kit Electric Stapler Li-Ion 3K Staples Nails","staple gun","TXNG04V091","B09BV1B4QG","P1 - 4 / 60","P1 - 14 / 60","Yes"
"MKHS4N1071","Monika 4in1 Air Styler 1200W Auto Curler Hair Dryer Brush Straightening Curling Blow Ionic Care","4 in 1 air styler","MKHS4N1071","B0C23N39V2","P1 - 2 / 60","P1 - 6 / 60","Yes"
"MKHS4N1071","Monika 4in1 Air Styler 1200W Auto Curler Hair Dryer Brush Straightening Curling Blow Ionic Care","hair dryer brush set","MKHS4N1071","B0C23N39V2","P1 - 21 / 60","P1 - 36 / 60","Yes"
"MKHS4N1071","Monika 4in1 Air Styler 1200W Auto Curler Hair Dryer Brush Straightening Curling Blow Ionic Care","rotating hair brush","MKHS4N1071","B0C23N39V2","P1 - 23 / 60","P1 - 7 / 60","Yes"
"MKHS4N1071","Monika 4in1 Air Styler 1200W Auto Curler Hair Dryer Brush Straightening Curling Blow Ionic Care","rotating hair dryer brush","MKHS4N1071","B0C23N39V2","P1 - 21 / 60","P1 - 25 / 60","Yes"
