"Link of the Product","SKU","CampaignID","CampaignName","Keywords","Keywords Type","Current Bid","Adjust Bid","Ads Rank","Target Row Or Not","Max Bid"
"https://www.ebay.com.au/itm/186784439614","TXDS20V312",,"TX312","cordless sander","PHRASE","0.8",,,"True",
"https://www.ebay.com.au/itm/186784439614","TXDS20V312",,"TX312","cordless detail sander","PHRASE","1.13",,,"True",
"https://www.ebay.com.au/itm/186784439614","TXDS20V312",,"TX312","mouse sander","EXACT","1.3",,,"True",
"https://www.ebay.com.au/itm/186784439614","TXDS20V312",,"TX312","cordless sander","EXACT","1.36",,,"True",
"https://www.ebay.com.au/itm/186784439614","TXDS20V312",,"TX312","palm sander","EXACT","0.44",,,"True",
"https://www.ebay.com.au/itm/186784439614","TXDS20V312",,"TX312","sander","EXACT","1.2",,,"True",
"https://www.ebay.com.au/itm/186704238905","TXMK2PC059",,"TX059","multitool pliers","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/186704238905","TXMK2PC059",,"TX059","folding knife","PHRASE","1.27",,,"True",
"https://www.ebay.com.au/itm/186704238905","TXMK2PC059",,"TX059","pocket knife","EXACT","1.17",,,"True",
"https://www.ebay.com.au/itm/186704238905","TXMK2PC059",,"TX059","multi tool","EXACT","0.57",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","lumbar cushion","EXACT","0.37",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","lumbar support car","EXACT","0.32",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","car lumbar back support pillow","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","car back cushion","EXACT","0.8",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","lumbar support cushion","EXACT","0.32",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","lumbar support pillow","EXACT","0.68",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","back support cushion","EXACT","0.8",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","back support pillow","PHRASE","1.35",,,"True",
"https://www.ebay.com.au/itm/186704227004","SLSC450301",,"SL301","ergonomic back cushion","PHRASE","0.4",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","butt support pillow","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","car seat cushion","EXACT","0.69",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","foam seat cushion","EXACT","1.2",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","memory foam seat","EXACT","1.2",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","memory foam cushion","EXACT","1.2",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","memory foam seat cushion","EXACT","1.12",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","foam seat pad","EXACT","1.03",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","car seat cushion memory foam","EXACT","1.05",,,"True",
"https://www.ebay.com.au/itm/186704217410","SLFC460300",,"SL300","butt pillow","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186621342953","MSSU150092",,"MS092","warehouse rack","PHRASE","1.5",,,"True",
"https://www.ebay.com.au/itm/186621342953","MSSU150092",,"MS092","pallet racking","PHRASE","0.43",,,"True",
"https://www.ebay.com.au/itm/186621342953","MSSU150092",,"MS092","garage shelving","PHRASE","0.2",,,"True",
"https://www.ebay.com.au/itm/186621342953","MSSU150092",,"MS092","garage shelf","EXACT","0.93",,,"True",
"https://www.ebay.com.au/itm/186621342953","MSSU150092",,"MS092","garage shelving","EXACT","0.2",,,"True",
"https://www.ebay.com.au/itm/186557919534","SLPR8TR111",,"SL111","hanging pot rack","EXACT","0.28",,,"True",
"https://www.ebay.com.au/itm/186557919534","SLPR8TR111",,"SL111","pot and pan organizer","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186557919534","SLPR8TR111",,"SL111","pan organizer","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186557919534","SLPR8TR111",,"SL111","pan rack","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/186557919534","SLPR8TR111",,"SL111","pot rack","PHRASE","0.52",,,"True",
"https://www.ebay.com.au/itm/186557922091","SLDR2LY110",,"SL110","dish drainer drying rack","EXACT","0.46",,,"True",
"https://www.ebay.com.au/itm/186557922091","SLDR2LY110",,"SL110","dish rack drainer tray","EXACT","0.59",,,"True",
"https://www.ebay.com.au/itm/186557922091","SLDR2LY110",,"SL110","2 tier dish drainer","EXACT","0.4",,,"True",
"https://www.ebay.com.au/itm/186557922091","SLDR2LY110",,"SL110","drying rack dishes","EXACT","0.42",,,"True",
"https://www.ebay.com.au/itm/186557922091","SLDR2LY110",,"SL110","dish storage rack","EXACT","0.75",,,"True",
"https://www.ebay.com.au/itm/186557922091","SLDR2LY110",,"SL110","2 tier dish drying rack","EXACT","0.3",,,"True",
