"Reference ID","Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"233","https://www.ebay.com.au/itm/186312083773","Stelive 56 PCs Clear Food Storage Container Set Leak Proof Lunch Boxes BPA-Free","food storage containers","SLFC56P101","186312083773","P1 - 35 / 70","No","No"
"236","https://www.ebay.com.au/itm/186179076771","No","lady shaver","MKSE6N1091","186179076771","No","No","No"
"238","https://www.ebay.com.au/itm/186152738952","TOPEX 34 Piece Reciprocating Saw Blades, Premium Blades for Metal & Wood cutting","reciprocating saw blades","TXSBR34417","186152738952","P2 - 1 / 62","P1 - 12 / 70","Yes"
"242","https://www.ebay.com.au/itm/186152738952","No","saw blades","TXSBR34417","186152738952","No","No","No"
"244","https://www.ebay.com.au/itm/186152738952","TOPEX 34 Piece Reciprocating Saw Blades, Premium Blades for Metal & Wood cutting","reciprocating saw blades","TXSBR34417","186152738952","P2 - 1 / 62","P1 - 12 / 70","Yes"
"246","https://www.ebay.com.au/itm/185272987502","No","wire stripper","TXWS285057","185272987502","No","No","No"
"251","https://www.ebay.com.au/itm/186133583556","No","chainsaw","TX516","186133583556","No","No","No"
"252","https://www.ebay.com.au/itm/186133583556","No","leaf blower","TX516","186133583556","No","No","No"
"253","https://www.ebay.com.au/itm/186133583556","No","cordless blower","TX516","186133583556","No","No","No"
"255","https://www.ebay.com.au/itm/186133408447","No","leaf blower","TX515","186133408447","No","No","No"
"256","https://www.ebay.com.au/itm/186133408447","No","grass trimmer","TX515","186133408447","No","No","No"
"257","https://www.ebay.com.au/itm/186133408447","No","cordless blower","TX515","186133408447","No","No","No"
"258","https://www.ebay.com.au/itm/186133408447","No","whipper snipper","TX515","186133408447","No","No","No"
"259","https://www.ebay.com.au/itm/186133408447","No","line trimmer","TX515","186133408447","No","No","No"
"260","https://www.ebay.com.au/itm/186097338610","No","cordless scrubber","TXCS4V0240","186097338610","No","No","No"
"261","https://www.ebay.com.au/itm/186097338610","TOPEX 4V MAX Cordless Scrubber w/ 5 Replaceable Brush Heads for Home Cleanning","scrubber brush","TXCS4V0240","186097338610","P2 - 15 / 62","No","Yes"
"262","https://www.ebay.com.au/itm/185998945670","No","angle grinder","TX512","185998945670","No","No","No"
"264","https://www.ebay.com.au/itm/185998945670","No","circular saw","TX512","185998945670","No","No","No"
"265","https://www.ebay.com.au/itm/186116490834","No","vacuum cleaner","TXCV20V014","186116490834","No","No","No"
"266","https://www.ebay.com.au/itm/186116490834","No","handheld vacuum cleaner","TXCV20V014","186116490834","No","No","No"
"267","https://www.ebay.com.au/itm/186116490834","No","car vacuum cleaner","TXCV20V014","186116490834","No","No","No"
"268","https://www.ebay.com.au/itm/186116490834","No","cordless vacuum cleaner","TXCV20V014","186116490834","No","No","No"
"269","https://www.ebay.com.au/itm/186071626480","No","led torch","TXCT12V203","186071626480","No","No","No"
"270","https://www.ebay.com.au/itm/186071626480","TOPEX 12V Cordless LED Worklight Lithium-Ion LED Torch","makita 18v torch","TXCT12V203","186071626480","P1 - 22 / 70","No","Yes"
"271","https://www.ebay.com.au/itm/186071626480","No","led replacement torch bulbs","TXCT12V203","186071626480","No","No","No"
"272","https://www.ebay.com.au/itm/186029805398","No","cordless inflator","TX521","186029805398","No","No","No"
"273","https://www.ebay.com.au/itm/186029805398","No","handheld vacuum cleaner","TX521","186029805398","No","No","No"
"274","https://www.ebay.com.au/itm/186029805398","No","vacuum cleaner","TX521","186029805398","No","No","No"
"275","https://www.ebay.com.au/itm/186029805398","No","handheld vacuum cordless","TX521","186029805398","No","No","No"
"276","https://www.ebay.com.au/itm/186029805398","No","impact wrench","TX521","186029805398","No","No","No"
"278","https://www.ebay.com.au/itm/186008132332","TOPEX 1200W Angle Grinder Heavy Duty 125mm 5"" Angle Grinder w/ Cutting Disc","125mm grinder","TXAG12W028","186008132332","No","P1 - 11 / 70","No"
"279","https://www.ebay.com.au/itm/186008132332","TOPEX 1200W Angle Grinder Heavy Duty 125mm 5"" Angle Grinder w/ Cutting Disc","angle grinder","TXAG12W028","186008132332","No","P1 - 11 / 70","No"
"308","https://www.ebay.com.au/itm/185018804991","No","rotary tool kit","TXRT200W092","185018804991","No","No","No"
"318","https://www.ebay.com.au/itm/185431373096","No","fire blanket","FB18X12","185431373096","No","No","No"
"319","https://www.ebay.com.au/itm/185431373096","No","fire blanket","FB18X18","185431373096","No","No","No"
"323","https://www.ebay.com.au/itm/185432975797","No","fire extinguisher","FB90ABE","185432975797","No","No","No"
"324","https://www.ebay.com.au/itm/185432975797","No","9kg fire extinguisher","FB90ABE","185432975797","No","No","No"
"330","https://www.ebay.com.au/itm/185273082337","TOPEX Deluxe Folding Utility Knife 2 Piece Lock Back Auto Load Total 58 Blades","utility","TXTK3PC056","185273082337","P2 - 29 / 62","No","No"
"331","https://www.ebay.com.au/itm/185374333818","50-400pcs 125mm 5"" Professional Cutting Wheels Discs 2 in1 Steel Inox Ultra Thin","grinding discs","TXCTD125M022","185374333818","P2 - 39 / 62","No","No"
"332","https://www.ebay.com.au/itm/185374333818","50-400pcs 125mm 5"" Professional Cutting Wheels Discs 2 in1 Steel Inox Ultra Thin","cutting discs","TXCTD125M022","185374333818","P1 - 31 / 68","No","No"
"336","https://www.ebay.com.au/itm/185324376993","No","engraver","TXEE13W095","185324376993","No","No","No"
